filepath,agent_name,authority_level,parent_agent_id,escalation_path,notes
docs/03_agents/01_executive_board/CFO/Finance/director_capital_allocation.md,director_capital_allocation,director,vp_finance,vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/director_fpanda.md,director_fpanda,director,vp_finance,vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/director_risk.md,director_risk,director,vp_finance,vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/director_treasury.md,director_treasury,director,vp_finance,vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/managers/manager_budgeting.md,manager_budgeting,manager,vp_finance,director_capital_allocation > vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/managers/manager_profitability.md,manager_profitability,manager,vp_finance,director_capital_allocation > vp_finance > cfo > human_owner,
docs/03_agents/01_executive_board/CFO/Finance/vp_finance.md,vp_finance,vp,cfo,cfo > human_owner,
docs/03_agents/01_executive_board/CFO/cfo.md,cfo,executive,human_owner,human_owner,
docs/03_agents/01_executive_board/CHRO/People/chro.md,chro,executive,human_owner,human_owner,
docs/03_agents/01_executive_board/CHRO/People/director_performance.md,director_performance,director,chro,chro > human_owner,
docs/03_agents/01_executive_board/CHRO/People/director_talent.md,director_talent,director,chro,chro > human_owner,
docs/03_agents/01_executive_board/CHRO/People/director_training.md,director_training,director,chro,chro > human_owner,
docs/03_agents/01_executive_board/CLO/Legal/chief_legal_officer.md,chief_legal_officer,executive,human_owner,human_owner,
docs/03_agents/01_executive_board/CLO/Legal/director_compliance.md,director_compliance,director,chief_legal_officer,chief_legal_officer > human_owner,DUPLICATE name x2; STRAY-TEXT FILE (21b) - clean before generation
docs/03_agents/01_executive_board/CLO/Legal/director_contracts.md,director_contracts,director,chief_legal_officer,chief_legal_officer > human_owner,
docs/03_agents/01_executive_board/CLO/Legal/director_privacy.md,director_privacy,director,chief_legal_officer,chief_legal_officer > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/director_social_media.md,director_social_media,director,vp_marketing,vp_marketing > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/art_director.md,art_director,director,vp_creative,vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/image_generation_agent.md,image_generation_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/motion_designer_agent.md,motion_designer_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/style_guardian_agent.md,style_guardian_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/thumbnail_specialist_agent.md,thumbnail_specialist_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/visual_consistency_agent.md,visual_consistency_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/art_team/workers/visual_qc_agent.md,visual_qc_agent,worker,art_director,art_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/brand_director.md,brand_director,director,vp_creative,vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/workers/brand_consistency_agent.md,brand_consistency_agent,worker,brand_director,brand_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/workers/brand_guardian_agent.md,brand_guardian_agent,worker,brand_director,brand_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/workers/messaging_agent.md,messaging_agent,worker,brand_director,brand_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/workers/positioning_agent.md,positioning_agent,worker,brand_director,brand_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/brand_team/workers/tone_of_voice_agent.md,tone_of_voice_agent,worker,brand_director,brand_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/copy_team/copy_director.md,copy_director,director,vp_creative,vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/copy_team/workers/ad_copy_agent.md,ad_copy_agent,worker,copy_director,copy_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/copy_team/workers/caption_writer_agent.md,caption_writer_agent,worker,copy_director,copy_director > vp_creative > cmo > human_owner,
docs/03_agents/01_executive_board/CMO/Marketing/Social_Media/vp_creative/copy_team/workers/cta_optimizer_agent.md,cta_optimizer_agent,worker,copy_director,copy_director > vp_creative > cmo > human_owner,
